"CUSTOMER_CODE","FIRSTNAME","LASTNAME"
"CUST0000000111","Dale","Morgan"
"CUST0000000112","Lewis","Greenhouse"
"CUST0000000113","John","Shearon"
"CUST0000000114","Marion","Edwards"
"CUST0000000115","Marco","Michaud"
"CUST0000000116","Roy","Knapp"
"CUST0000000117","James","Bennett"
"CUST0000000118","David","Roller"
"CUST0000000119","Gregory","Neumann"
"CUST0000000120","Andrew","Ruley"
"CUST0000000121","Tamara","Montana"
"CUST0000000122","Mary","Ratliff"
"CUST0000000123","Ramon","Robinson"
"CUST0000000124","Shari","Liebsch"
"CUST0000000125","Michelle","Gonzalez"
"CUST0000000126","William","Prioletti"
"CUST0000000127","Ida","Harris"
"CUST0000000128","Matt","Pettit"
"CUST0000000129","Oscar","Ronning"
"CUST0000000130","Kelli","Melton"
"CUST0000000131","Gwen","Bells"
"CUST0000000132","Timothy","Cabral"
"CUST0000000133","David","Stratton"
"CUST0000000134","Bryan","Emerson"
"CUST0000000135","Patricia","Shives"
"CUST0000000136","James","Strapp"
"CUST0000000137","Charles","Litteral"
"CUST0000000138","Eddie","Weintraub"
"CUST0000000139","Gary","Eady"
"CUST0000000140","Janet","Mcdade"
"CUST0000000141","Dexter","Barkan"
"CUST0000000142","Steven","Perry"
"CUST0000000143","Hilary","Flowers"
"CUST0000000144","Victoria","Hamilton"
"CUST0000000145","Bob","Delgado"
"CUST0000000146","Louise","Collier"
"CUST0000000147","Dorothea","Thyng"
"CUST0000000148","Johnnie","Hudson"
"CUST0000000149","Leonard","Gregorio"
"CUST0000000150","David","Iuliucci"
"CUST0000000151","Polly","Howell"
"CUST0000000152","Jason","Witcher"
"CUST0000000153","Vanessa","Barraclough"
"CUST0000000154","Richard","Getz"
"CUST0000000155","Houston","Laureano"
"CUST0000000156","Dorothy","Ludwig"
"CUST0000000157","Julio","Brantner"
"CUST0000000158","Elizabeth","Goncalves"
"CUST0000000159","Paulette","Michl"
"CUST0000000160","Sara","Stone"
"CUST0000000161","Kasey","Gonzalez"
"CUST0000000162","Amanda","Arce"
"CUST0000000163","Patricia","Castilo"
"CUST0000000164","Gerardo","Ortiz"
"CUST0000000165","Alberta","Davis"
"CUST0000000166","Brian","Balla"
"CUST0000000167","Julius","Escobedo"
"CUST0000000168","Linda","Trier"
"CUST0000000169","Pilar","Nathanson"
"CUST0000000170","Michael","Edwards"
"CUST0000000171","Bonnie","Richards"
"CUST0000000172","John","Shockley"
"CUST0000000173","Zulema","Burr"
"CUST0000000174","Juanita","Stollar"
"CUST0000000175","Keisha","Ford"
"CUST0000000176","Troy","Nicholls"
"CUST0000000177","Cameron","Robinson"
"CUST0000000178","Ashley","Ward"
"CUST0000000179","James","Jordan"
"CUST0000000180","Jesus","Whitehurst"
"CUST0000000181","Kristin","Hoogland"
"CUST0000000182","Janis","Kelly"
"CUST0000000183","Loretta","Carr"
"CUST0000000184","Amanda","Straugter"
"CUST0000000185","Danny","Ho"
"CUST0000000186","Bernadette","Loudermilk"
"CUST0000000187","Beverly","Tabor"
"CUST0000000188","Viola","King"
"CUST0000000189","Ben","Jenkins"
"CUST0000000190","Joseph","Kimble"
"CUST0000000191","Edna","Wilson"
"CUST0000000192","Ronald","Laban"
"CUST0000000193","Jack","Keen"
"CUST0000000194","Cleo","Coffman"
"CUST0000000195","Terry","Haro"
"CUST0000000196","Richard","Britcher"
"CUST0000000197","Christel","Littich"
"CUST0000000198","Waldo","Silvera"
"CUST0000000199","Emily","Davis"
"CUST0000000200","Donald","Hendershot"
"CUST0000000201","Leona","Swift"
"CUST0000000202","Beverly","Meredith"
"CUST0000000203","Inez","Segura"
"CUST0000000204","Pauline","Smith"
"CUST0000000205","Taryn","Alvardo"
"CUST0000000206","Jamie","Winkelpleck"
"CUST0000000207","Mark","Galante"
"CUST0000000208","Tony","Stout"
"CUST0000000209","James","Ritchie"
"CUST0000000210","Marian","Aniello"
"CUST0000000211","Armando","Gamache"
"CUST0000000212","Walter","Cornelius"
"CUST0000000213","Sandra","Nelson"
"CUST0000000214","Jose","Aleman"
"CUST0000000215","Stacy","Wilson"
"CUST0000000216","Katrina","Hayes"
"CUST0000000217","Michelle","Triche"
"CUST0000000218","Eugene","Robinson"
"CUST0000000219","Rose","Joubert"
"CUST0000000220","Maurice","Maxham"
"CUST0000000221","Marian","Mavins"
"CUST0000000222","Nancy","Hill"
"CUST0000000223","Eddie","Cannon"
"CUST0000000224","Amy","Cruz"
"CUST0000000225","Roberta","Cresswell"
"CUST0000000226","Mark","Snow"
"CUST0000000227","Alexandra","Goodwin"
"CUST0000000228","Tamara","Koch"
"CUST0000000229","Gail","Lafave"
"CUST0000000230","Jeffrey","Havard"
"CUST0000000231","Blair","Silverman"
"CUST0000000232","Brent","Trout"
"CUST0000000233","Erica","Mckee"
"CUST0000000234","Tiffany","Mcdanel"
"CUST0000000235","Wilton","Orlando"
"CUST0000000236","Christina","Porras"
"CUST0000000237","Tarah","Beaulieu"
"CUST0000000238","Karie","Dangelo"
"CUST0000000239","William","Prather"
"CUST0000000240","Karen","Dorsey"
"CUST0000000241","John","Davis"
"CUST0000000242","Lorna","Bullock"
"CUST0000000243","Debra","Roland"
"CUST0000000244","Ruth","Mccown"
"CUST0000000245","Malcolm","Keefer"
"CUST0000000246","Scott","Davenport"
"CUST0000000247","Jeanne","Duchon"
"CUST0000000248","Jose","Bisom"
"CUST0000000249","Sherry","Moroni"
"CUST0000000250","Christopher","Salimi"
"CUST0000000251","Jean","Moreland"
"CUST0000000252","Vera","Pierce"
"CUST0000000253","Virginia","Meister"
"CUST0000000254","Johnny","Hall"
"CUST0000000255","Myra","Nelson"
"CUST0000000256","Leo","Carroll"
"CUST0000000257","Tara","Begor"
"CUST0000000258","Rebecca","Belote"
"CUST0000000259","Patrick","Fisher"
"CUST0000000260","David","Shaver"
"CUST0000000261","Louis","Gaskins"
"CUST0000000262","Margaret","Savitts"
"CUST0000000263","Keith","Jobst"
"CUST0000000264","Holly","Blum"
"CUST0000000265","Elaine","True"
"CUST0000000266","Lawrence","Cornell"
"CUST0000000267","Mary","Douglas"
"CUST0000000268","Daisey","Jones"
"CUST0000000269","Lester","Massaro"
"CUST0000000270","Laura","Messinger"
"CUST0000000271","Rodney","Frisina"
"CUST0000000272","Elizabeth","Wheeler"
"CUST0000000273","Charles","Stewart"
"CUST0000000274","John","Richards"
"CUST0000000275","Paul","Honeycutt"
"CUST0000000276","Lauren","Thompson"
"CUST0000000277","Anthony","Garcia"
"CUST0000000278","Bobbi","Marks"
"CUST0000000279","Lillian","Soto"
"CUST0000000280","Priscilla","Brown"
"CUST0000000281","Todd","Clark"
"CUST0000000282","Lillie","Easterday"
"CUST0000000283","Estelle","Hunsberger"
"CUST0000000284","Reginald","Burge"
"CUST0000000285","Roberto","Brady"
"CUST0000000286","Esther","Wiggins"
"CUST0000000287","Sharon","Morello"
"CUST0000000288","Julia","Dyke"
"CUST0000000289","Angela","Thomas"
"CUST0000000290","Victor","Block"
"CUST0000000291","Tawny","Farrar"
"CUST0000000292","Paul","Martin"
"CUST0000000293","Patricia","Gipson"
"CUST0000000294","Claude","Kevan"
"CUST0000000295","Carl","Yates"
"CUST0000000296","James","Quinones"
"CUST0000000297","Albert","Cimino"
"CUST0000000298","Edward","Jones"
"CUST0000000299","Alice","Bond"
"CUST0000000300","Steve","Clingerman"
"CUST0000000301","Cody","Donovan"
"CUST0000000302","Debra","Rautenstrauch"
"CUST0000000303","Dale","Troy"
"CUST0000000304","Lucia","Garcia"
"CUST0000000305","Lisa","Westin"
"CUST0000000306","Richard","Coleman"
"CUST0000000307","Eleanor","Chong"
"CUST0000000308","Albert","Shurtleff"
"CUST0000000309","Lorraine","Eaton"
"CUST0000000310","Sarah","Pursell"
"CUST0000000311","Clifford","Creech"
"CUST0000000312","Ernest","Faye"
"CUST0000000313","Spencer","Harris"
"CUST0000000314","Brain","Patton"
"CUST0000000315","Jose","Simmons"
"CUST0000000316","Cheryl","Munoz"
"CUST0000000317","Molly","Uttley"
"CUST0000000318","Christine","Winston"
"CUST0000000319","Raymond","Ross"
"CUST0000000320","Dexter","Byrne"
"CUST0000000321","Jesse","Hughes"
"CUST0000000322","Delores","Roberts"
"CUST0000000323","Sue","Stevenson"
"CUST0000000324","Edward","Hagood"
"CUST0000000325","Leticia","Allen"
"CUST0000000326","Alex","Pusey"
"CUST0000000327","Angelita","Philip"
"CUST0000000328","Robert","Waddell"
"CUST0000000329","Tamara","Clapham"
"CUST0000000330","Merissa","Cooper"
"CUST0000000331","Anne","Kueny"
"CUST0000000332","Mark","Smith"
"CUST0000000333","Lenore","Wertz"
"CUST0000000334","Ruth","Carlson"
"CUST0000000335","Jordan","Cadorette"
"CUST0000000336","Vickie","Hall"
"CUST0000000337","Gary","Patterson"
"CUST0000000338","Christopher","Gonzales"
"CUST0000000339","Tara","Randall"
"CUST0000000340","Erika","Kitchen"
"CUST0000000341","Nathan","Hullett"
"CUST0000000342","Denna","Butler"
"CUST0000000343","Silvia","Paul"
"CUST0000000344","Karen","Castro"
"CUST0000000345","Annie","Chung"
"CUST0000000346","Caroline","Justice"
"CUST0000000347","Kelly","Cummings"
"CUST0000000348","Carl","Valerius"
"CUST0000000349","Daisy","Schwenke"
"CUST0000000350","Mary","Neal"
"CUST0000000351","George","Thomas"
"CUST0000000352","Ann","King"
"CUST0000000353","Carrie","Hubbard"
"CUST0000000354","Ollie","Hines"
"CUST0000000355","Thomas","Giles"
"CUST0000000356","Jason","Norman"
"CUST0000000357","Steve","Wagner"
"CUST0000000358","Loren","Fernandez"
"CUST0000000359","Donna","Davis"
"CUST0000000360","Leonard","Friedmann"
"CUST0000000361","Jill","Tratar"
"CUST0000000362","Charles","Faulkner"
"CUST0000000363","Shelia","Bridges"
"CUST0000000364","Patti","Gabriel"
"CUST0000000365","Sherry","Marsh"
"CUST0000000366","Summer","Hunt"
"CUST0000000367","Matthew","Schmitt"
"CUST0000000368","Lucy","Silva"
"CUST0000000369","Earl","Disque"
"CUST0000000370","Kathy","Thomas"
"CUST0000000371","James","Richardson"
"CUST0000000372","Grace","Coffield"
"CUST0000000373","Lura","Barnes"
"CUST0000000374","Daniel","Roehl"
"CUST0000000375","Andrew","Chandler"
"CUST0000000376","Mitsuko","Miosky"
"CUST0000000377","Mary","Smith"
"CUST0000000378","Rosemary","Gutierrez"
"CUST0000000379","Donald","Thomas"
"CUST0000000380","Karl","Tzeremes"
"CUST0000000381","Marjorie","Clark"
"CUST0000000382","Michael","Hwang"
"CUST0000000383","Jennifer","Willmann"
"CUST0000000384","Harriet","Knott"
"CUST0000000385","Clement","Wilson"
"CUST0000000386","Jeremy","Schaeffer"
"CUST0000000387","Loretta","Kroesing"
"CUST0000000388","Richard","Lambrecht"
"CUST0000000389","Ilona","Perez"
"CUST0000000390","John","Varley"
"CUST0000000391","Beatrice","Johns"
"CUST0000000392","Joella","Foye"
"CUST0000000393","Randall","Bourdeau"
"CUST0000000394","Norman","Pollard"
"CUST0000000395","Frank","Carter"
"CUST0000000396","Calvin","Cano"
"CUST0000000397","Charles","Marsh"
"CUST0000000398","Diane","Howe"
"CUST0000000399","Scott","Garrido"
"CUST0000000400","Anna","King"
"CUST0000000401","Mary","Karow"
"CUST0000000402","Thomas","Schiele"
"CUST0000000403","John","Lee"
"CUST0000000404","Linda","Sykes"
"CUST0000000405","Cathryn","Wischmeier"
"CUST0000000406","Richard","Nelson"
"CUST0000000407","Lucy","Robeson"
"CUST0000000408","William","Devito"
"CUST0000000409","Carole","Michael"
"CUST0000000410","Margaret","Myers"
"CUST0000000411","Sherry","Johnson"
"CUST0000000412","Johnny","Campbell"
"CUST0000000413","George","Diamond"
"CUST0000000414","Tommie","Colbert"
"CUST0000000415","Richard","Grady"
"CUST0000000416","Rebecca","Burris"
"CUST0000000417","Caroline","Farmer"
"CUST0000000418","Dianna","Shepherd"
"CUST0000000419","Peter","Rogers"
"CUST0000000420","Waldo","Donaldson"
"CUST0000000421","Robert","Steward"
"CUST0000000422","Valeria","Williams"
"CUST0000000423","Renee","Irons"
"CUST0000000424","Donna","Price"
"CUST0000000425","Helen","Foulks"
"CUST0000000426","Florence","Choice"
"CUST0000000427","Margaret","Jackson"
"CUST0000000428","Barry","Travis"
"CUST0000000429","Katrina","Johnston"
"CUST0000000430","Michael","Mcknight"
"CUST0000000431","Ethel","Willis"
"CUST0000000432","Doug","Sullivan"
"CUST0000000433","Eric","Toher"
"CUST0000000434","David","Irving"
"CUST0000000435","Frances","Sevigny"
"CUST0000000436","Leonard","Herman"
"CUST0000000437","Shayla","Kowalski"
"CUST0000000438","Margie","Cox"
"CUST0000000439","Opal","Jones"
"CUST0000000440","Sophia","Eldridge"
"CUST0000000441","Sherry","Taylor"
"CUST0000000442","Jenifer","Prince"
"CUST0000000443","Rebecca","Wiater"
"CUST0000000444","Carol","Rimmer"
"CUST0000000445","Willie","Stanger"
"CUST0000000446","Melody","Jordon"
"CUST0000000447","Kira","Scott"
"CUST0000000448","Angela","Workman"
"CUST0000000449","John","Horan"
"CUST0000000450","Doris","Martens"
"CUST0000000451","Gary","Jackson"
"CUST0000000452","Daniel","Steveson"
"CUST0000000453","Alicia","Henry"
"CUST0000000454","Ann","Elias"
"CUST0000000455","Wesley","Pruett"
"CUST0000000456","Garland","Guidry"
"CUST0000000457","Thomas","Lear"
"CUST0000000458","Martha","Fischer"
"CUST0000000459","Kelly","Judy"
"CUST0000000460","Mark","Petit"
"CUST0000000461","Jacquelyn","Spradlin"
"CUST0000000462","Allen","Barnett"
"CUST0000000463","Mary","Brunkhorst"
"CUST0000000464","Miguel","Gordon"
"CUST0000000465","Gregory","Cass"
"CUST0000000466","Christina","Woods"
"CUST0000000467","Caitlin","Maldonado"
"CUST0000000468","Tiffany","Simons"
"CUST0000000469","Charles","Gazaille"
"CUST0000000470","Lonnie","Slaughter"
"CUST0000000471","Mary","Wood"
"CUST0000000472","John","Sullins"
"CUST0000000473","Charles","Shaw"
"CUST0000000474","Robert","Rosas"
"CUST0000000475","Elisa","Lewis"
"CUST0000000476","Philip","Wiseman"
"CUST0000000477","Andrew","Mcgee"
"CUST0000000478","Marla","Davis"
"CUST0000000479","Brenda","Willett"
"CUST0000000480","Jerry","Wedekind"
"CUST0000000481","Jennifer","Hayes"
"CUST0000000482","Fred","Sanchez"
"CUST0000000483","Lee","Keller"
"CUST0000000484","Eva","Pineda"
"CUST0000000485","Sue","Dickson"
"CUST0000000486","Luther","Smith"
"CUST0000000487","Lou","Larson"
"CUST0000000488","Carla","Mccormick"
"CUST0000000489","Timothy","Soto"
"CUST0000000490","Lynn","Martins"
"CUST0000000491","Sherry","Saucedo"
"CUST0000000492","Vicki","Hansel"
"CUST0000000493","Scott","Almond"
"CUST0000000494","Joe","Nicodemus"
"CUST0000000495","Rebecca","Perry"
"CUST0000000496","Anita","Steakley"
"CUST0000000497","Mark","Munselle"
"CUST0000000498","Mary","Darling"
"CUST0000000499","Rhonda","Fechner"
"CUST0000000500","Mildred","Wilson"
"CUST0000000501","Dale","Reynolds"
"CUST0000000502","Brian","Brown"
"CUST0000000503","Carol","Hodges"
"CUST0000000504","Kathryn","Pearl"
"CUST0000000505","Michelle","Lambert"
"CUST0000000506","Donald","Skubis"
"CUST0000000507","Edward","Arnold"
"CUST0000000508","Ira","Carter"
"CUST0000000509","John","Hill"
"CUST0000000510","Emilia","Manley"
"CUST0000000511","Christopher","Pettner"
"CUST0000000512","Thomas","Beebe"
"CUST0000000513","Michael","Hooker"
"CUST0000000514","Vickie","Orta"
"CUST0000000515","David","Hart"
"CUST0000000516","Sarah","Ibanez"
"CUST0000000517","Tracey","Waller"
"CUST0000000518","Joseph","Johnson"
"CUST0000000519","Cynthia","Thomas"
"CUST0000000520","Frances","Medina"
"CUST0000000521","Pauline","Arredondo"
"CUST0000000522","Evelyn","Tart"
"CUST0000000523","Robert","Layton"
"CUST0000000524","Ema","Lewis"
"CUST0000000525","Selma","Frye"
"CUST0000000526","Helen","Huffman"
"CUST0000000527","Loren","Wade"
"CUST0000000528","Tina","Gautier"
"CUST0000000529","Johnnie","Kellar"
"CUST0000000530","Brenda","Merrill"
"CUST0000000531","Russell","Forrest"
"CUST0000000532","Cameron","Morgan"
"CUST0000000533","Christopher","Lewis"
"CUST0000000534","Renee","Ortiz"
"CUST0000000535","Mary","Caldwell"
"CUST0000000536","Bess","Mccartney"
"CUST0000000537","Roberta","Kinsley"
"CUST0000000538","Lilian","Scott"
"CUST0000000539","Evelyn","Minard"
"CUST0000000540","Patrica","Silva"
"CUST0000000541","Toby","Niss"
"CUST0000000542","Walter","Hanna"
"CUST0000000543","Ronald","Callahan"
"CUST0000000544","Edward","Rodgers"
"CUST0000000545","Sonia","Davenport"
"CUST0000000546","Marie","Rhinehart"
"CUST0000000547","Erica","Kahn"
"CUST0000000548","Martha","Reynolds"
"CUST0000000549","Carla","Kelley"
"CUST0000000550","Randolph","Remus"
"CUST0000000551","Meghan","Swensen"
"CUST0000000552","Leah","Helms"
"CUST0000000553","Hazel","Moore"
"CUST0000000554","Roy","Demello"
"CUST0000000555","Marlin","Dieteman"
"CUST0000000556","Stephen","Reese"
"CUST0000000557","Richard","Johnston"
"CUST0000000558","Cynthia","Mcneely"
"CUST0000000559","Jennifer","Cruz"
"CUST0000000560","Walter","Gutierrez"
"CUST0000000561","Carmen","Bailey"
"CUST0000000562","Joshua","Withers"
"CUST0000000563","Emil","Daigle"
"CUST0000000564","Amanda","Soliman"
"CUST0000000565","Carman","Flint"
"CUST0000000566","Stephen","Ford"
"CUST0000000567","Ina","Clark"
"CUST0000000568","Nancy","Loper"
"CUST0000000569","Julie","Yost"
"CUST0000000570","Jermaine","Finch"
"CUST0000000571","Gena","Reed"
"CUST0000000572","Lyndsey","Holcomb"
"CUST0000000573","Steven","Geiser"
"CUST0000000574","Peter","White"
"CUST0000000575","Christopher","Miller"
"CUST0000000576","Pierre","Mcdonald"
"CUST0000000577","Melissa","Rump"
"CUST0000000578","Jimmie","Magallan"
"CUST0000000579","Deborah","Lewis"
"CUST0000000580","James","Rodriguez"
"CUST0000000581","Karina","Ray"
"CUST0000000582","Ashley","Pierce"
"CUST0000000583","Aaron","Morris"
"CUST0000000584","Johnny","Woodruff"
"CUST0000000585","Ruth","Hirth"
"CUST0000000586","Eric","Wheeler"
"CUST0000000587","Vicki","Burrell"
"CUST0000000588","Jessica","Ayers"
"CUST0000000589","Arthur","Ford"
"CUST0000000590","Mary","Cole"
"CUST0000000591","Marguerite","Wilford"
"CUST0000000592","Stephanie","Stitt"
"CUST0000000593","George","Reed"
"CUST0000000594","Evelyn","Hilton"
"CUST0000000595","Cheryl","Naranjo"
"CUST0000000596","Howard","Atencio"
"CUST0000000597","Paul","Rogers"
"CUST0000000598","Sheri","Anderson"
"CUST0000000599","Ashley","Orozco"
"CUST0000000600","Joe","Bell"
"CUST0000000601","Matthew","Crosswell"
"CUST0000000602","Sofia","Bullins"
"CUST0000000603","Katheryn","Grant"
"CUST0000000604","Alonzo","Salazar"
"CUST0000000605","Carla","Rojo"
"CUST0000000606","Deborah","Ritter"
"CUST0000000607","Alden","Perry"
"CUST0000000608","Robert","Wild"
"CUST0000000609","Brenda","Fritz"
"CUST0000000610","Jason","Mihelich"
"CUST0000000611","Kendra","Corrigan"
"CUST0000000612","Luis","Kluz"
"CUST0000000613","Katherine","Harlow"
"CUST0000000614","Jamie","Denny"
"CUST0000000615","Mary","Phipps"
"CUST0000000616","Juan","Gatto"
"CUST0000000617","Angela","Figueroa"
"CUST0000000618","Elaine","Bowers"
"CUST0000000619","Lanie","Sulc"
"CUST0000000620","Cheryl","Hachigian"
"CUST0000000621","Lewis","Bell"
"CUST0000000622","Freda","Carey"
"CUST0000000623","Eileen","Fuller"
"CUST0000000624","Michael","Wilson"
"CUST0000000625","Joseph","Stengel"
"CUST0000000626","Mireille","Jones"
"CUST0000000627","Becky","Skeeter"
"CUST0000000628","Cory","Perry"
"CUST0000000629","Mathew","Love"
"CUST0000000630","Donna","Koch"
"CUST0000000631","Peter","Estrada"
"CUST0000000632","Adele","Singer"
"CUST0000000633","Kenneth","Smith"
"CUST0000000634","Heather","Hogan"
"CUST0000000635","Ryan","Long"
"CUST0000000636","Anthony","Pennington"
"CUST0000000637","Edna","Hall"
"CUST0000000638","Donald","Pratt"
"CUST0000000639","Regina","Matthew"
"CUST0000000640","Nicholas","Maurice"
"CUST0000000641","Mildred","King"
"CUST0000000642","Brandy","Guglielmi"
"CUST0000000643","Penny","Wilson"
"CUST0000000644","Tony","Francis"
"CUST0000000645","Carl","Mccormick"
"CUST0000000646","Christopher","Aragon"
"CUST0000000647","Roy","Barretto"
"CUST0000000648","Kenneth","Reffett"
"CUST0000000649","Mark","Calfee"
"CUST0000000650","Mary","Kirk"
"CUST0000000651","Robert","Sawicki"
"CUST0000000652","Shawn","Humphries"
"CUST0000000653","Demetra","Odea"
"CUST0000000654","Timmy","Huber"
"CUST0000000655","Helen","May"
"CUST0000000656","Valerie","Hegg"
"CUST0000000657","Jennifer","Arbogast"
"CUST0000000658","Michael","Jackson"
"CUST0000000659","Yolanda","Crow"
"CUST0000000660","Sandra","Harris"
"CUST0000000661","Julieta","Andrews"
"CUST0000000662","Wilma","Huslander"
"CUST0000000663","Alexander","Guy"
"CUST0000000664","Jennie","Cass"
"CUST0000000665","James","Holm"
"CUST0000000666","Louella","Fritts"
"CUST0000000667","William","Fitzsimmons"
"CUST0000000668","Natalie","Alley"
"CUST0000000669","Patrice","Winders"
"CUST0000000670","Karen","Every"
"CUST0000000671","Teresa","Lallo"
"CUST0000000672","Phyllis","Rodriguez"
"CUST0000000673","Israel","Bourgeois"
"CUST0000000674","Pauline","Mendoza"
"CUST0000000675","Ruthann","Burnett"
"CUST0000000676","Jack","Merino"
"CUST0000000677","Desire","Smith"
"CUST0000000678","David","Roberts"
"CUST0000000679","Carolina","Mathis"
"CUST0000000680","Sharon","Thompson"
"CUST0000000681","Peter","Pace"
"CUST0000000682","Jasmin","Armstrong"
"CUST0000000683","Leo","Maloy"
"CUST0000000684","Adam","Haynes"
"CUST0000000685","Floyd","Moore"
"CUST0000000686","Aaron","Anderson"
"CUST0000000687","Maricela","Velasquez"
"CUST0000000688","Joseph","Callen"
"CUST0000000689","Mable","Romo"
"CUST0000000690","Mary","Daniels"
"CUST0000000691","Sara","Jackson"
"CUST0000000692","Emily","Norris"
"CUST0000000693","David","Warner"
"CUST0000000694","Sydney","Cummings"
"CUST0000000695","Maria","Mazza"
"CUST0000000696","Joseph","Robinson"
"CUST0000000697","Kathy","Brown"
"CUST0000000698","Herman","Demars"
"CUST0000000699","John","Kelly"
"CUST0000000700","Glen","James"
"CUST0000000701","Darlene","Sikes"
"CUST0000000702","Josue","Ragland"
"CUST0000000703","Ann","Castle"
"CUST0000000704","Jeffrey","Curtis"
"CUST0000000705","Sadie","Xiong"
"CUST0000000706","Amanda","Edney"
"CUST0000000707","April","Graves"
"CUST0000000708","Damon","Garcia"
"CUST0000000709","Tim","Adkins"
"CUST0000000710","Alice","Mays"
"CUST0000000711","Kenneth","Mathison"
"CUST0000000712","Ann","Branson"
"CUST0000000713","Mary","Williams"
"CUST0000000714","Jason","Cox"
"CUST0000000715","Shirley","Alesci"
"CUST0000000716","Brian","Armas"
"CUST0000000717","Nathan","Macpartland"
"CUST0000000718","Marian","Anderson"
"CUST0000000719","Christopher","Dailey"
"CUST0000000720","James","Goodsite"
